Datetime,Open,High,Low,Close,Adj Close,Volume,SMA_9,SMA_21,Signal,Position
2024-08-27 09:50:00-04:00,172.83999633789062,172.89500427246094,172.76100158691406,172.78799438476562,172.78799438476562,160124,172.75308905707465,173.25777108328683,0,0.0
2024-08-27 09:51:00-04:00,172.7899932861328,172.89999389648438,172.64999389648438,172.6999969482422,172.6999969482422,132799,172.72268846299914,173.1753852480934,0,0.0
2024-08-27 09:52:00-04:00,172.63999938964844,172.97000122070312,172.63999938964844,172.8800048828125,172.8800048828125,123278,172.71102227105035,173.11371866861978,0,0.0
2024-08-27 09:53:00-04:00,172.86500549316406,173.13999938964844,172.86000061035156,173.0449981689453,173.0449981689453,195108,172.73824395073785,173.06681387765067,0,0.0
2024-08-27 09:54:00-04:00,173.05990600585938,173.11000061035156,172.9199981689453,172.92999267578125,172.92999267578125,157756,172.77490912543402,173.0060846237909,0,0.0
2024-08-27 09:55:00-04:00,172.9499969482422,173.0,172.77999877929688,172.80499267578125,172.80499267578125,78921,172.79435221354166,172.95846557617188,0,0.0
2024-08-27 09:56:00-04:00,172.8000030517578,172.82000732421875,172.7104949951172,172.76980590820312,172.76980590820312,68498,172.82564120822482,172.92178998674666,0,0.0
2024-08-27 09:57:00-04:00,172.77110290527344,172.96499633789062,172.75570678710938,172.86500549316406,172.86500549316406,98610,172.84619818793402,172.88417125883558,0,0.0
2024-08-27 09:58:00-04:00,172.8699951171875,172.91000366210938,172.7700958251953,172.89999389648438,172.89999389648438,54627,172.85364278157553,172.85086640857514,1,1.0
2024-08-27 09:59:00-04:00,172.89999389648438,172.9199981689453,172.80999755859375,172.86000061035156,172.86000061035156,88829,172.86164347330728,172.84229532877603,0,-1.0
2024-08-27 10:00:00-04:00,172.85499572753906,172.9199981689453,172.72000122070312,172.82009887695312,172.82009887695312,155204,172.87498813205295,172.82968066987536,0,0.0
2024-08-27 10:01:00-04:00,172.8300018310547,172.89999389648438,172.75999450683594,172.86500549316406,172.86500549316406,67985,172.87332153320312,172.82512846447173,0,0.0
2024-08-27 10:02:00-04:00,172.88999938964844,172.9199981689453,172.82000732421875,172.8249969482422,172.8249969482422,86063,172.848876953125,172.81155686151413,0,0.0
2024-08-27 10:03:00-04:00,172.82000732421875,172.83999633789062,172.52999877929688,172.52999877929688,172.52999877929688,85141,172.80443318684897,172.79043288457962,0,0.0
